query_id,scenario,query,retrieved_candidate_ids,retrieved_metadata,prompt,response,groundedness_score,metadata_consistency_score,limitation_awareness_score,explanation_quality_score,hallucination_flags,human_review_status
Q011,lightweight_gas_storage,Recommend lightweight MOFs for gas storage using density and available metadata.,qmof-13a76dd|qmof-ac6a77a|qmof-a1a5849|qmof-c0f392b|qmof-235f291,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-a1a5849, qmof-c0f392b, qmof-235f291. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q012,lightweight_gas_storage,Find low-density QMOF candidates that may be relevant for gas storage applications.,qmof-13a76dd|qmof-ac6a77a|qmof-a1a5849|qmof-c0f392b|qmof-235f291,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-a1a5849, qmof-c0f392b, qmof-235f291. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q013,lightweight_gas_storage,Suggest MOFs for lightweight gas storage and explain uncertainty if porosity descriptors are unavailable.,qmof-13a76dd|qmof-ac6a77a|qmof-a1a5849|qmof-c0f392b|qmof-235f291,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-a1a5849, qmof-c0f392b, qmof-235f291. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q014,lightweight_gas_storage,Recommend low-density materials for gas storage without claiming measured uptake.,qmof-13a76dd|qmof-ac6a77a|qmof-a1a5849|qmof-c0f392b|qmof-235f291,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-a1a5849, qmof-c0f392b, qmof-235f291. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q015,lightweight_gas_storage,Which QMOF candidates are lightweight and potentially useful for molecular storage?,qmof-13a76dd|qmof-ac6a77a|qmof-a1a5849|qmof-c0f392b|qmof-235f291,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-c0f392b (Zn2C44H38N6O12, band_gap=2.464185, density=0.915527725); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-a1a5849, qmof-c0f392b, qmof-235f291. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q016,balanced_discovery,"Recommend balanced MOF candidates considering band gap, density, stability, diversity, and uncertainty.",qmof-13a76dd|qmof-ac6a77a|qmof-235f291|qmof-a1a5849|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-235f291, qmof-a1a5849, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q017,balanced_discovery,Find diverse QMOF candidates that balance electronic and structural properties.,qmof-13a76dd|qmof-ac6a77a|qmof-235f291|qmof-a1a5849|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-235f291, qmof-a1a5849, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q018,balanced_discovery,Suggest a balanced top-K list of MOFs and explain why each candidate was selected.,qmof-13a76dd|qmof-ac6a77a|qmof-235f291|qmof-a1a5849|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-235f291, qmof-a1a5849, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q019,balanced_discovery,"Recommend MOFs using a multi-objective trade-off between relevance, density, band gap, and diversity.",qmof-13a76dd|qmof-ac6a77a|qmof-235f291|qmof-a1a5849|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-235f291, qmof-a1a5849, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q020,balanced_discovery,Which QMOF candidates provide a balanced compromise for exploratory materials discovery?,qmof-13a76dd|qmof-ac6a77a|qmof-235f291|qmof-a1a5849|qmof-cef46c3,"qmof-13a76dd (Zn4C40H28N12O8, band_gap=3.309168, density=0.982716063); qmof-ac6a77a (Zn4C76H44N8O16, band_gap=2.401359, density=0.82887956); qmof-235f291 (Ni2C24H16N8, band_gap=3.336142, density=0.870801372); qmof-a1a5849 (Fe2C24H16N8, band_gap=2.75343, density=0.925170256); qmof-cef46c3 (Zn2C48H32N8O8, band_gap=2.913296, density=0.7895211)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-13a76dd, qmof-ac6a77a, qmof-235f291, qmof-a1a5849, qmof-cef46c3. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
Q021,wide_band_gap,Recommend wide-band-gap insulating MOF candidates from the QMOF metadata.,qmof-4050181|qmof-b1cbe7a|qmof-175a5d9|qmof-8deddd1|qmof-694fdb2,"qmof-4050181 (Li4C28H32N4O8, band_gap=5.066465, density=0.936198777); qmof-b1cbe7a (Fe2C24H16N8, band_gap=3.528396, density=0.685538233); qmof-175a5d9 (Fe6C42Cl6H12N18O12, band_gap=3.544636, density=0.750832979); qmof-8deddd1 (Zn6C42H18O18, band_gap=3.550246, density=0.720023443); qmof-694fdb2 (Na4C52H80N4O8, band_gap=3.600195, density=0.918885408)",Generate a grounded QMOF recommendation explanation using only retrieved metadata and explicit limitations.,"Based on the final diversity-aware masked rerun, the retrieved QMOF candidates are qmof-4050181, qmof-b1cbe7a, qmof-175a5d9, qmof-8deddd1, qmof-694fdb2. The ranking uses available metadata such as density and band gap when observed, excludes unavailable void fraction, and should be treated as computational prioritization only. These candidates may be useful starting points for follow-up computational or experimental validation, but the output does not prove adsorption uptake, synthesis feasibility, porosity, or DFT-confirmed performance.",5.0,5.0,5.0,4.5,"{""hallucination_detected"": false, ""unsupported_adsorption_claim"": false, ""unsupported_experimental_claim"": false, ""metadata_inconsistency"": false, ""limitation_awareness_failure"": false}",not human reviewed; deterministic local automated rerun
